year,youth,mid,old
1960,45.44,52.07,2.48
1961,45.85,51.66,2.49
1962,45.98,51.53,2.49
1963,45.82,51.62,2.55
1964,45.47,51.94,2.59
1965,44.88,52.47,2.65
1966,43.96,53.33,2.71
1967,43.28,53.96,2.76
1968,42.45,54.75,2.8
1969,40.5,56.68,2.82
1970,39.66,57.42,2.92
1971,38.71,58.26,3.03
1972,37.96,58.89,3.15
1973,37.11,59.65,3.24
1974,36.21,60.42,3.37
1975,35.37,61.13,3.5
1976,34.71,61.65,3.64
1977,33.97,62.19,3.83
1978,33.29,62.72,3.99
1979,32.72,63.13,4.15
1980,32.12,63.59,4.29
1981,31.63,63.96,4.41
1982,31.25,64.21,4.55
1983,30.81,64.51,4.68
1984,30.2,64.95,4.85
1985,29.6,65.35,5.06
1986,29.01,65.71,5.28
1987,28.39,66.06,5.54
1988,27.96,66.3,5.74
1989,27.5,66.54,5.96
1990,27.08,66.7,6.22
1991,26.34,67.13,6.53
1992,25.77,67.42,6.81
1993,25.15,67.75,7.1
1994,24.41,68.21,7.38
1995,23.77,68.6,7.64
1996,23.15,68.99,7.86
1997,22.6,69.34,8.06
1998,21.96,69.79,8.26
1999,21.43,70.13,8.44
2000,21.11,70.26,8.62
2001,20.81,70.39,8.81
2002,20.42,70.56,9.02
2003,19.83,70.94,9.24
2004,19.34,71.19,9.48
2005,18.7,71.56,9.74
2006,18.12,71.88,10
2007,17.56,72.24,10.21
2008,16.95,72.62,10.43
2009,16.34,73.03,10.63
2010,15.65,73.61,10.74
2011,15.08,74.04,10.89
2012,14.63,74.22,11.15
2013,14.32,74.15,11.53
2014,13.99,74.03,11.99
2015,13.57,73.92,12.51
2016,13.35,73.46,13.2
2017,13.12,73.02,13.86
2018,12.92,72.52,14.56
2019,12.75,71.96,15.28
2020,12.58,71.35,16.07
2021,12.36,70.79,16.85
2022,12.1,70.3,17.5
2023,12,69.6,18.4
2024,12,68.8,19.2
2025,11.9,68.1,20
2026,11.7,67.4,20.8
2027,11.4,67,21.7
2028,11.2,66.3,22.5
2029,10.9,65.8,23.3
2030,10.6,65.3,24.1
2031,10.4,64.7,24.9
2032,10.2,64.3,25.6
2033,10,63.7,26.3
2034,9.9,63.2,27
2035,9.8,62.5,27.7
2036,9.8,61.9,28.3
2037,9.7,61.4,28.9
2038,9.6,60.9,29.5
2039,9.5,60.4,30.1
2040,9.5,59.9,30.6
2041,9.4,59.1,31.5
2042,9.4,58.5,32.1
2043,9.4,57.8,32.9
2044,9.3,57,33.6
2045,9.3,56.3,34.4
2046,9.3,55.6,35.1
2047,9.2,54.9,35.9
2048,9.2,54.3,36.5
2049,9.2,53.8,37
2050,9.2,53.3,37.5
2051,9.1,53.1,37.7
2052,9.1,52.8,38.1
2053,9.1,52.4,38.5
2054,9,52.1,38.8
2055,9,51.7,39.3
2056,9,51.4,39.7
2057,8.9,51,40.1
2058,8.9,50.6,40.5
2059,8.9,50.2,40.9
2060,8.8,49.8,41.4
2061,8.8,49.4,41.9
2062,8.7,48.9,42.4
2063,8.7,48.8,42.6
2064,8.6,48.5,42.9
2065,8.6,48.1,43.3
2066,8.6,47.9,43.5
2067,8.6,47.8,43.7
2068,8.5,47.8,43.7
2069,8.5,47.8,43.7
2070,8.5,47.8,43.6
